stembureau,sbnr,bc,sd,kg,blanco,ongeldig,PVDA,VVD,GROENLINKS,D66,SP,REDASD,CDA,PVDD,TROTS,LIJST 10,PIRATENP,GROENEN,OPA-ASD,ASDSOC,CU,LA,RPP,PVVA,ROB,NAT,OMA,MPP,BIP,VOA,PVDE,PVDO,LP,totaal
"Stadhuis, ingang Waterlooplein 18",SB1,A04,A,747,2,7,158,85,102,250,124,25,12,26,2,0,15,2,5,1,3,1,0,5,3,6,3,0,1,2,2,9,6,848
"Stadhuis, ingang Waterlooplein 18",SB2,A04,A,789,2,3,130,71,117,197,118,12,8,27,2,0,16,2,13,1,2,2,0,2,6,7,0,1,1,2,2,3,2,744
"Universiteitsbibliotheek Amsterdam, Singel 425",SB3,A01,A,1133,4,5,99,108,96,324,64,12,22,25,2,0,13,3,6,1,12,2,0,6,1,34,1,3,1,3,2,7,3,850
"Leger des Heils, Oudezijds Achterburgwal 45",SB4,A00,A,1072,2,6,80,57,81,194,56,12,14,7,2,0,9,1,8,2,13,6,0,7,0,2,2,0,1,1,0,4,1,560
"De Keyzer, Czaar Peterstraat 10",SB5,A09,A,1095,6,8,177,55,128,209,132,10,6,17,1,0,8,8,5,2,8,4,1,13,2,0,1,6,3,1,15,7,4,823
"School De Witte Olifant, Nieuwe Uilenburgerstraat 96",SB6,A04,A,1094,8,3,176,80,184,284,129,9,16,34,2,0,14,6,5,5,3,3,1,6,5,8,0,1,2,2,3,10,2,990
"Gemeente Amsterdam, Weesperstraat 430",SB7,A08,A,975,0,2,83,59,57,140,83,9,9,15,0,0,12,1,5,0,3,2,0,5,1,3,1,1,1,3,0,7,3,503
"Gymlokaal, tegenover Lastageweg 50",SB8,A04,A,1047,2,1,123,43,99,186,99,12,14,15,0,0,12,10,4,1,5,4,0,2,1,9,3,1,0,9,0,11,0,663
"Gymlokaal, tegenover Lastageweg 50",SB9,A04,A,1171,2,4,113,45,95,192,92,23,6,19,0,0,9,2,9,1,2,2,0,0,1,2,1,1,0,2,0,23,0,640
"Burghtschool, Herengracht 34",SB10,A02,A,1016,6,3,62,121,52,199,41,9,8,12,2,0,7,1,3,1,1,2,0,4,1,2,0,0,1,3,0,2,0,534
"Burghtschool, Herengracht 34",SB11,A01,A,928,0,5,71,107,68,213,32,11,20,16,1,0,4,1,2,0,1,3,0,0,2,1,2,0,0,0,0,1,0,556
"Theo Thijssenschool, Anjeliersstraat 153",SB12,A06,A,1104,7,8,128,55,106,188,141,17,17,35,3,2,7,7,2,2,4,11,0,3,15,3,1,0,1,2,0,4,3,757
"Korfbalvereniging Swift, Plantage Parklaan 20 A",SB13,A04,A,1059,1,6,107,69,81,208,71,14,13,10,2,2,2,5,8,0,4,1,0,1,3,2,0,1,0,2,2,8,2,618
"Korfbalvereniging Swift, Plantage Parklaan 20 A",SB14,A04,A,1078,2,0,120,66,73,189,60,16,15,23,1,0,6,5,10,0,4,2,0,1,1,4,2,0,2,3,0,11,1,615
"Dependance Theo Thijssen, Palmstraat 9",SB15,A06,A,1160,0,6,88,50,68,144,71,17,4,15,2,0,9,3,4,0,3,10,1,5,2,2,1,0,4,2,0,5,1,511
"Dependance Theo Thijssen, Palmstraat 9",SB16,A06,A,1145,3,4,90,52,55,150,61,9,9,21,3,0,8,9,10,2,4,6,2,10,1,1,2,0,2,1,2,9,1,520
"School St Aloysius, Westerstraat 297",SB17,A06,A,1200,3,5,115,97,79,215,114,25,14,30,2,4,13,7,5,4,4,10,0,8,2,5,3,0,2,2,1,8,3,772
"Artis Aquarium, ingang Plantage Middenlaan 53 ",SB18,A08,A,0,0,0,46,17,54,74,32,4,5,12,1,0,8,0,2,0,2,2,0,2,2,3,1,0,1,0,0,1,0,269
