naam buurtcombinatie,bc,opkomst-percentage,totaal,PvdA,VVD,GL,SP,CDA,D66,TvA,REDASD,PvMS,AB,Groenen,TONLRV,PvdD,NDP,RMP,ChrUnie,LA,AsdSoc,L19,
Burgwallen-Oude Zijde,A00,55.8,100,21.4,19.3,19.1,5.9,2.4,19.2,0.1,5.4,0.4,0.1,0.4,1.6,1.4,0.1,0.1,1.9,0.6,0.6,0,
Burgwallen-Nieuwe Zijde,A01,76.6,100,19.5,19.4,20.9,5.6,2.7,22.3,0.6,3.5,0.2,0.1,0.7,0.6,1.7,0.1,0.4,0.9,0.3,0.6,0,
Grachtengordel-West,A02,62,100,23.2,24.1,15.2,4.1,2.6,20.9,0.2,5.7,0.1,0.1,0.4,0.3,1.9,0,0.1,0.4,0.3,0.4,0,
Grachtengordel-Zuid,A03,61.1,100,21.9,26.3,11.6,3.9,3,20.9,0.2,8.9,0.1,0.1,0.1,0.7,1.4,0.1,0,0.3,0.2,0.2,0,
Nieuwmarkt/Lastage,A04,75,100,26.2,13.5,19.4,8.8,1.6,18.2,0.2,5.7,0.3,0.2,0.7,0.9,2.5,0.1,0.1,0.5,0.4,0.6,0,
Haarlemmerbuurt,A05,60.7,100,25.8,15.1,19.8,8.4,1.9,17.4,0.2,5.6,0.2,0.3,0.8,1.4,1.8,0,0,0.4,0.4,0.4,0,
Jordaan,A06,59.2,100,23.9,17.3,18.3,8.5,2,16.7,0.3,5.8,0.4,0.2,0.5,1.5,2.6,0.1,0.1,0.5,0.7,0.6,0.1,
De Weteringschans,A07,57.2,100,22.3,22.7,13.6,4.4,2.7,21.1,0.2,8.7,0.4,0.2,0.5,0.6,1.7,0,0.1,0.3,0.3,0.2,0,
Weesperbuurt/Plantage,A08,63.2,100,27.4,13.5,19.3,7.7,2.7,18.3,0.2,4.6,0.2,0.1,0.9,1.2,1.9,0.1,0.1,1,0.3,0.4,0,
Oostelijke Eilanden/Kadijken,A09,51.2,100,28.2,10.1,23.2,11.1,1.8,13.9,0.3,4.2,0.3,0.2,0.8,1.1,2.1,0.1,0.1,1,0.8,0.4,0.1,
Westelijk Havengebied + Bedrijventerrein Sloterdijk,B10+B11,82.7,100,17.9,15.5,19.6,8.1,2.4,22.3,1.4,3.7,0.3,0,1.7,1,2.7,0.3,0,1.7,1,0.3,0,
Spaarndammer- en Zeeheldenbuurt + Houthavens,E13+E12 ,46.5,100,28.9,10.9,22.8,9.1,2.2,12.7,0.3,3.3,0.5,0.3,1.8,1.9,2.5,0.1,0,1.2,0.8,0.6,0.1,
Staatsliedenbuurt,E14,53.8,100,27.8,11.6,21.4,9.4,1.5,15.3,0.4,4.1,0.4,0.2,1.8,1.2,2.5,0.2,0,0.4,1.2,0.5,0,
Centrale Markt,E15,44.4,100,25.1,12.2,21.5,9,3,16.5,0.2,3.1,0.4,0.1,1.1,2.3,2.6,0.1,0,1.6,0.3,0.5,0.2,
Frederik Hendrikbuurt,E16,57.4,100,26.6,14.2,19.8,8.8,1.8,16.3,0.5,3.9,0.4,0.1,1.5,1.3,2.9,0.1,0,0.8,0.4,0.4,0.2,
Da Costabuurt,E17,53.6,100,20.9,20.3,17.6,8.6,2.6,19.3,0.2,3.2,0.5,0.2,1.1,1.7,1.9,0,0.1,0.4,0.6,0.6,0,
Kinkerbuurt,E18,59.7,100,23.2,17.7,19.6,7.9,2.1,16.8,0.2,4,0.5,0.3,1.7,1.4,2.5,0.2,0,0.4,0.8,0.6,0,
Van Lennepbuurt,E19,52.2,100,26.4,14.2,19.6,9.3,1.8,14.7,0.5,3.8,0.5,0.4,1.4,1.6,2.8,0.2,0,1,1.1,0.6,0.1,
Helmersbuurt,E20,58.8,100,26.1,19.1,16.6,6.3,2.7,17.6,0.3,4.5,0.4,0.1,1.2,0.9,2.1,0.1,0.1,0.6,0.7,0.4,0,
Overtoomse Sluis,E21,56.1,100,22.1,20.5,18,7.1,2.4,18.9,0.2,3.7,0.6,0.1,1.1,0.9,2.8,0,0,1,0.3,0.4,0,
