wijk/std/gb,opgeroepenen,geldige stembiljetten,blanco stembiljetten,ongeldige stembiljetten,opkomst %,D66,PvdA,VVD,SP,GL,PvdD,CDA,PvdO,DENK,PlatfAsd ,StemvdStr,PPAsd,SGP,FvD,UCF,BIpartij,Lijst17,PvIeder,CU,BIJ1,SAMEN,A-SPartij,BlijeBurg,CarryotM,QUEER,50Plus,DRPP,Lijst28
A00,3843,2165,9,9,56.8,402,227,284,143,541,196,54,19,13,1,6,43,3,127,1,1,2,0,34,33,8,2,2,3,4,13,1,2
A01,3348,3885,10,14,116.8,798,364,514,220,1059,317,76,27,35,7,12,73,1,192,3,6,9,1,62,80,5,6,2,0,0,14,1,1
A02,4467,2848,15,24,64.6,622,374,511,156,511,230,123,35,2,0,5,35,1,149,2,2,5,1,18,26,6,11,1,1,2,17,1,1
A03,5309,3375,4,11,63.9,820,389,724,163,605,225,107,27,8,3,1,40,4,179,2,3,6,0,25,26,2,5,0,0,5,5,1,0
A04,7814,5714,15,30,73.7,866,774,510,577,1587,544,109,66,36,2,10,102,7,252,2,9,2,4,65,117,18,6,2,2,14,30,0,1
A05,7851,5168,21,27,66.4,857,671,558,508,1214,529,96,78,30,3,18,72,6,291,9,18,9,5,37,82,8,10,3,0,3,40,4,9
A06,17359,10590,45,50,61.6,1808,1372,1377,976,2288,1018,205,210,48,5,36,167,13,642,2,27,14,5,82,140,8,28,9,1,6,89,2,12
A07,5677,3762,8,20,66.8,838,397,767,210,805,248,102,30,9,1,4,44,2,175,1,7,13,3,19,38,4,15,1,0,2,25,1,1
A08,6341,4939,14,16,78.4,985,652,571,372,1284,414,87,75,15,3,6,64,3,197,1,10,8,0,58,77,4,10,7,0,3,31,1,1
A09,11109,6347,21,31,57.6,914,859,516,691,1711,572,105,112,142,7,13,90,8,251,10,10,2,1,105,148,17,6,8,4,3,38,0,4
E13+E12,9794,4875,36,28,50.4,675,570,331,465,1370,435,90,119,162,7,13,85,13,229,8,10,1,2,62,121,18,15,3,3,3,60,3,2
E14,10174,5713,23,37,56.7,890,597,414,588,1637,586,90,62,158,7,11,117,3,248,14,18,6,4,39,125,21,9,5,2,7,49,1,5
E15,2693,1219,5,11,45.9,185,135,118,99,341,96,21,16,51,2,2,15,3,52,2,1,0,0,24,28,2,4,1,1,0,18,1,1
E16,7390,4059,11,19,55.3,699,480,411,356,951,413,142,55,91,1,15,63,2,188,2,4,2,3,43,68,16,9,3,1,2,36,1,2
E17,3499,2062,10,17,59.7,395,195,244,156,550,161,116,26,25,3,3,40,0,84,0,1,2,0,12,30,0,9,1,0,2,5,0,2
E18,4944,2623,18,15,53.7,567,226,314,181,638,226,64,37,88,2,11,40,1,105,2,4,3,2,14,48,10,15,1,0,2,19,0,3
E19,7678,4055,28,26,53.5,673,395,421,410,931,354,72,64,212,8,7,57,3,201,11,7,0,1,34,106,14,9,1,0,11,49,2,2
E20,5691,3586,17,7,63.4,764,370,534,272,838,319,96,33,14,1,6,42,4,148,0,9,4,0,30,61,8,12,1,1,0,16,0,3
E21,6578,3810,17,19,58.5,863,379,571,260,884,367,80,35,34,1,10,64,2,154,1,4,6,0,19,31,5,12,2,0,3,18,2,3
E22,1351,616,0,2,45.7,138,76,85,33,132,67,17,6,1,0,0,4,3,29,0,2,1,0,8,6,1,2,0,1,1,3,0,0
E37+E36,14383,6664,46,55,47.0,1226,542,538,336,1679,551,112,82,805,13,17,104,13,303,8,9,4,6,66,130,19,20,1,1,3,66,3,7
E38,3768,1760,16,18,47.6,270,163,120,107,399,151,36,14,291,4,4,34,0,73,3,3,3,2,34,28,2,5,0,0,1,10,0,3
E39,9573,4278,46,61,45.8,627,337,329,213,891,233,84,54,1079,7,8,62,5,136,9,7,4,4,57,81,5,4,6,0,0,33,0,3
E40,5986,3398,12,27,57.4,708,321,371,190,885,287,42,47,175,3,8,50,5,169,1,4,2,0,44,46,1,11,1,0,1,16,3,7
E41,5758,2192,12,24,38.7,409,213,207,151,555,168,26,38,190,0,11,25,6,70,1,6,1,3,27,49,6,4,1,0,0,20,0,5
E42,9977,4466,43,35,45.5,889,380,424,332,1027,347,78,76,394,8,9,60,11,204,8,7,4,2,58,75,14,11,6,0,7,32,2,1
