"bc_code","bc_name","year","PVDA","GL","MPP","DENK","BIJ1","imm_Sur","imm_Ant","imm_Tur","imm_Mar","imm_otherNW","imm_W","imm_autoch","age_0t18","age_18t26","age_27t65","age_66plus","age_15t64","housing_pub","edu_low","edu_mid","edu_high","housing_soc","net_wijk_product","households","builtafter2000","bc_combined","unempl","netHHincome","newbuildings","MCparties","turnout","netincomedelta","newbuildingsdelta","housing_soc_delta2005","housing_soc_delta2009","housing_soc_delta2013","housing_soc_delta","housing_pub_delta","GLdelta2010","GLdelta2014","PVDA_delta2006","PVDA_delta2010","PVDA_delta2014","PVDA_delta","year_BCvars"
"K49","Apollobuurt",2006,23.1973312804722,10.5722350526046,NA,NA,NA,0.852272727272727,0.444664031620553,0.382905138339921,0.20998023715415,5.69416996047431,26.4081027667984,66.0079051383399,19.8987154150198,9.1403162055336,57.2010869565217,14.4639328063241,68.0088932806324,NA,NA,NA,NA,18,193.68,3.6,11,0,0.671994188158373,53.8,0.287206266318538,NA,60.938232994527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005
"K49","Apollobuurt",2010,19.6836555360281,7.0079086115993,NA,NA,NA,0.907170374052442,0.584068596992668,0.54678762271654,0.260966819932894,5.4678762271654,27.2772461787001,64.9558841804399,21.6353920715795,9.55635640611408,54.8154591773332,14.8378277618988,66.049459425873,NA,NA,NA,NA,11,240.84,3.6,53,0,0.282220131702728,66.9,1.38417341342387,NA,64.9728803882387,13.1,1.09696714710533,-7,NA,NA,-7,NA,NA,NA,-3.51367574444404,NA,NA,-3.51367574444404,2009
"K49","Apollobuurt",2014,12.0458477508651,6.16349480968858,0,NA,NA,1.07867276351272,0.597959901512487,0.539336381756361,0.293117598780631,5.93270019931997,27.0254426075742,64.5327705475437,23.1680150076211,10.6577558916637,51.7528432407082,15.4179856958612,63.4892718958846,1.63339382940109,7,25,68,9,238.28,3.7,67,0,0.277008310249307,64.4,1.73710137412497,0,68.0200058840836,-2.5,0.352927960701097,-9,-2,NA,-2,NA,NA,NA,-11.1514835296071,-7.63780778516307,NA,-7.63780778516307,2013
"K49","Apollobuurt",2018,10.1549849641453,11.7279666897988,NA,0.161924589405505,0.323849178811011,1.0240478656081,0.60982625704752,0.655850880220918,0.241629271660338,7.1913473708434,29.8469681279485,60.4303302266713,24.5886549303878,9.96433091704062,49.7180991830629,16.7414566793234,61.9606489471867,1.62748643761302,11,25,64,NA,368.16,3.9,67,0,0.297121634168988,94.4,1.73081890984242,0.485773768216516,65.7790626902008,30,-0.00628246428254964,NA,NA,NA,NA,-0.00590739178806876,4.72005807819945,5.56447188011017,-13.0423463163269,-9.52867057188285,-1.89086278671978,-1.89086278671978,2017
"N70","Banne Buiksloot",2006,49.0639965171963,7.22681758815847,NA,NA,NA,11.359687228497,1.51317694758181,6.59571387199537,9.52794671300319,12.8801042571677,8.63741673906748,49.4859542426875,26.4407761366927,9.94063133507095,50.629887054735,14.357080799305,63.4013900955691,NA,NA,NA,NA,83,145.08,6.2,0,0,9.26116249857257,23.4,0,NA,46.6538031887885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005
"N70","Banne Buiksloot",2010,36.962156557802,9.2016588906169,NA,NA,NA,10.4225573358467,1.37448947533773,9.25227772541627,11.875589066918,13.54068488847,8.89883757461514,44.6355639333962,26.1545711592837,10.9644989004084,50.0471253534401,14.2318567389255,63.7291863022306,NA,NA,NA,NA,75,147.84,5.6,6,0,7.64111412373675,26.4,0.105097214923805,NA,41.8392799045657,3,0.105097214923805,-8,NA,NA,-8,NA,NA,NA,-12.1018399593944,NA,NA,-12.1018399593944,2009
"N70","Banne Buiksloot",2014,22.4833929483904,6.18293306080736,2.06949412365866,NA,NA,9.73126731042743,1.27255034059436,10.4199416123961,13.4665768395838,14.7316415899394,9.49172842278614,40.8862938842728,26.6711580208099,10.7418219926641,49.5096938393592,14.4172467999102,62.6993038401078,70.7398905173936,41,40,19,62,163.56,5.8,147,0,8.65568290353391,28.2,2.59579728059333,2.06949412365866,40.8261187024095,1.8,2.49070006566952,-21,-13,NA,-13,NA,NA,NA,-26.580603568806,-14.4787636094116,NA,-14.4787636094116,2013
"N70","Banne Buiksloot",2018,11.3009797220324,13.898382319435,NA,14.6502620186831,2.02779676463887,8.70049418806988,1.46168302359574,11.2271177002854,13.725899631099,15.5286420268671,10.5171573745389,38.839006055544,24.6885223080671,11.6308206306118,50.0104405930257,14.9091668406765,64.6690332010858,64.8408710217755,40,38,22,60,207.27,6.3,147,0,9.32084813260144,32.9,2.46231155778894,16.6780587833219,41.2538772441019,4.7,-0.133485722804381,-23,-15,-2,-2,-5.89901949561806,4.69672342881805,7.71544925862759,-37.763016795164,-25.6611768357696,-11.182413226358,-11.182413226358,2017
"M57","Betondorp",2006,36.6822429906542,7.398753894081,NA,NA,NA,6.1732385261797,0.678733031674208,0.904977375565611,5.30058177117001,3.94311570782159,9.92243051066581,73.0769230769231,10.6981254040078,7.0458952811894,53.8461538461538,29.185520361991,60.6981254040078,NA,NA,NA,NA,97,37.62,1.9,0,0,13.258785942492,19.8,0,NA,50.811238622873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005
"M57","Betondorp",2010,27.1695594125501,13.8184245660881,NA,NA,NA,7.15214564369311,0.650195058517555,1.00780234070221,5.72171651495449,5.16905071521456,10.4031209362809,69.8959687906372,12.0286085825748,6.89206762028609,55.1690507152146,26.4629388816645,62.5162548764629,NA,NA,NA,NA,92,42.56,1.9,22,0,10.4524180967239,22.4,1.09835247129306,NA,50.2684563758389,2.6,1.09835247129306,-5,NA,NA,-5,NA,NA,NA,-9.51268357810414,NA,NA,-9.51268357810414,2009
