naam buurtcombinatie,bc,kiesge-rechtigden,blanco/ ongeldige stemmen,totaal,PvdA,VVD,GL,SP,CDA,D66,TvA,REDASD,PvMS,AB,Groenen,TONLRV,PvdD,NDP,RMP,ChrUnie,LA,AsdSoc,L19
Burgwallen-Oude Zijde,A00,2896,10,1605,344,310,306,94,39,308,2,87,7,2,6,25,23,2,1,30,9,10,0
Burgwallen-Nieuwe Zijde,A01,3286,10,2508,488,486,525,141,67,560,16,87,4,2,17,14,42,3,11,22,7,16,0
Grachtengordel-West,A02,5409,19,3336,775,804,506,137,86,698,7,191,4,5,13,10,62,0,2,13,9,14,0
Grachtengordel-Zuid,A03,3841,11,2336,512,615,271,92,69,488,4,207,3,3,3,17,33,2,0,8,4,5,0
Nieuwmarkt/Lastage,A04,7704,32,5744,1506,778,1114,505,91,1045,10,329,17,11,39,54,144,8,4,31,25,33,0
Haarlemmerbuurt,A05,7697,22,4647,1199,703,919,389,86,810,9,261,11,12,39,65,84,2,1,18,19,19,1
Jordaan,A06,16503,47,9728,2325,1682,1781,823,195,1624,31,567,35,24,51,143,254,6,9,45,67,60,6
De Weteringschans,A07,6700,10,3824,853,868,520,170,102,805,7,331,14,7,21,22,66,1,3,12,12,9,1
Weesperbuurt/Plantage,A08,6437,24,4046,1110,546,781,312,111,741,7,185,9,6,36,47,78,4,4,40,13,16,0
Oostelijke Eilanden/Kadijken,A09,9736,34,4947,1397,500,1148,547,88,690,17,208,14,12,41,54,106,7,3,51,38,22,4
Westelijk Havengebied + Bedrijventerrein Sloterdijk,B10+B11,359,1,296,53,46,58,24,7,66,4,11,1,0,5,3,8,1,0,5,3,1,0
Spaarndammer- en Zeeheldenbuurt + Houthavens,E13+E12 ,9642,68,4417,1277,480,1008,402,96,562,13,144,22,14,79,85,109,3,2,55,37,26,3
Staatsliedenbuurt,E14,10101,61,5373,1496,623,1151,503,83,822,23,218,23,13,95,65,134,10,0,24,62,27,1
Centrale Markt,E15,2096,7,924,232,113,199,83,28,152,2,29,4,1,10,21,24,1,0,15,3,5,2
Frederik Hendrikbuurt,E16,6332,26,3610,960,513,715,318,64,588,17,140,13,5,55,48,106,2,1,30,13,14,8
Da Costabuurt,E17,3476,11,1851,387,375,326,159,49,358,4,60,10,4,21,31,35,0,2,8,11,11,0
Kinkerbuurt,E18,4590,33,2709,629,480,532,215,56,456,5,108,13,7,46,37,67,6,0,12,23,17,0
Van Lennepbuurt,E19,5475,26,2832,749,401,556,264,52,416,14,109,15,11,39,44,79,7,1,27,30,16,2
Helmersbuurt,E20,6224,25,3635,950,696,605,229,99,638,10,165,14,5,42,34,78,5,2,22,24,16,1
Overtoomse Sluis,E21,6612,26,3681,812,753,662,263,87,696,9,138,21,2,40,32,104,0,0,35,11,15,1
Vondelbuurt,E22,1056,3,682,161,147,103,44,29,118,1,43,0,1,10,5,12,0,0,4,3,1,0
Landlust + Sloterdijk,E37+E36,13794,97,5721,1923,686,1022,414,127,898,14,123,21,8,70,115,116,19,3,72,43,31,16
Erasmuspark,E38,5099,39,2325,724,302,442,161,59,418,8,44,15,5,21,38,38,5,2,18,12,9,4
De Kolenkit,E39,4632,59,2154,1036,163,287,185,54,226,2,29,10,4,8,33,33,15,3,32,17,3,14
De Krommert,E40,10067,58,5397,1461,794,1079,325,166,956,13,132,22,15,65,100,100,13,3,76,47,23,7
Van Galenbuurt,E41,4660,26,1825,558,185,400,124,40,310,3,45,7,4,19,33,49,7,0,22,9,5,5
Hoofdweg e.o.,E42,7586,46,3438,1018,487,637,230,93,547,10,71,14,8,35,68,100,8,5,57,29,16,5
Westindische Buurt,E43,5308,28,2973,754,551,511,173,87,563,6,74,12,11,41,42,66,7,2,40,25,5,3
Slotermeer-Noordoost + Spieringhorn,F76+F75,6468,48,2398,930,275,280,165,96,260,23,51,7,13,16,104,64,5,3,49,39,6,12
Slotermeer-Zuidwest,F77,12111,103,5116,1941,654,532,442,212,514,45,163,13,23,14,185,117,13,5,108,84,16,35
Geuzenveld,F78,8908,79,3460,1376,451,347,271,145,343,27,76,7,18,13,183,69,6,2,58,44,9,15
Eendracht,F79,2170,13,975,348,192,58,81,39,76,5,29,1,5,3,69,28,1,2,11,18,5,4
Lutkemeer/Ookmeer,F80,1014,8,413,149,95,20,25,24,26,3,16,0,2,0,29,12,2,0,1,8,1,0
Osdorp-Oost,F81,12136,70,5976,1951,1098,476,405,419,526,66,186,12,29,12,347,161,17,7,106,101,16,41
Osdorp-Midden,F82,9234,75,3600,1546,510,332,211,173,337,39,68,13,11,4,122,50,14,0,43,50,9,68
De Punt,F83,4174,19,1543,527,268,114,112,84,120,8,42,6,16,2,92,54,3,4,41,35,2,13
Middelveldsche Akerpolder/ Sloten,F84,10890,58,5511,1609,1290,418,320,276,707,53,148,8,28,22,288,110,24,1,92,86,15,16
Slotervaart,F85,11854,106,5653,2028,827,621,385,332,563,100,139,14,20,13,184,122,6,2,110,76,19,92
Overtoomse Veld,F86,7559,67,3366,1430,410,357,179,116,477,19,43,6,10,12,56,45,15,0,60,23,14,94
Westlandgracht,F87,3944,11,1690,512,335,204,94,82,256,15,51,2,3,7,48,27,5,0,21,10,8,10
Sloter-/Riekerpolder,F88,10514,29,5877,1693,1432,553,297,304,690,111,143,6,21,13,269,132,18,5,68,103,10,9
Oude Pijp,K24,11780,56,6526,1460,1181,1142,486,128,1277,21,421,27,10,52,53,150,4,16,26,35,33,4
Nieuwe Pijp,K25,10126,61,5957,1502,1000,957,457,180,1130,14,273,23,21,44,64,176,11,3,50,31,19,2
Diamantbuurt,K26,6624,46,3010,987,282,537,332,48,374,11,150,10,11,34,60,92,4,2,20,28,26,2
Hoofddorppleinbuurt,K44,9186,32,5072,1102,1192,694,273,177,1025,12,168,18,21,44,100,119,6,3,44,46,24,4
Schinkelbuurt,K45,3129,8,1532,349,376,222,108,45,238,3,61,8,10,12,21,50,2,2,10,9,6,0
Willemspark,K46,3829,11,2252,530,584,260,112,80,440,7,116,5,5,14,19,38,2,1,22,10,4,3
Museumkwartier + Duivelseiland,K47+K50,9575,30,6517,1593,1679,758,271,211,1293,10,419,6,14,34,35,114,3,2,44,15,14,2
Stadionbuurt,K48,10223,49,5005,1292,1094,606,342,172,798,10,232,28,14,60,75,143,5,5,54,47,23,5
Apollobuurt,K49,7006,26,4552,896,1667,319,89,238,906,10,289,2,6,14,20,58,2,0,16,11,9,0
Scheldebuurt,K52,11330,48,6860,1656,1616,871,369,312,1244,15,314,26,35,31,88,169,7,6,32,55,12,2
