indeling buurtcombinaties 2015 1),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
A00 Burgwallen-Oude Zijde,2723,2778,2796,2823,2839,2864,2870,2880,2917,2970,2974
A01 Burgwallen-Nieuwe Zijde,2652,2688,2705,2715,2753,2791,2820,2871,2884,2961,2972
A02 Grachtengordel-West,4258,4270,4278,4290,4297,4320,4256,4276,4314,4308,4316
A03 Grachtengordel-Zuid,3303,3319,3311,3316,3328,3347,3371,3396,3449,3487,3501
A04 Nieuwmarkt/Lastage,5721,5737,5990,6017,6034,6111,6107,6126,6190,6218,6239
A05 Haarlemmerbuurt,5427,5436,5557,5563,5569,5610,5593,5615,5641,5653,5654
A06 Jordaan,12804,12865,12882,12910,12928,12967,13107,13124,13152,13195,13217
A07 De Weteringschans,4481,4478,4495,4516,4553,4562,4578,4592,4618,4652,4665
A08 Weesperbuurt/Plantage,4357,4358,4345,4356,4354,4365,4168,4157,4277,4291,4306
A09 Oostelijke Eilanden/Kadijken,7246,7279,7286,7288,7277,7280,7156,7223,7236,7241,7251
B10 Westelijk Havengebied,54,54,55,51,48,47,38,35,30,30,30
E12 Houthavens,1190,1187,1040,1040,1041,1199,1251,625,1354,1617,1770
E13 Spaarndammer- en Zeeheldenbuurt,6090,6020,6011,6009,6013,6017,6013,6027,6029,6031,6108
E14 Staatsliedenbuurt,7743,7703,7660,7647,7819,7839,7817,7815,7814,7819,7823
E15 Centrale Markt,1199,1198,1197,1197,1197,1197,1196,1198,1247,1245,1246
E16 Frederik Hendrikbuurt,4984,5068,5022,5013,5043,5078,5083,5089,5103,5122,5125
E17 Da Costabuurt,2614,2620,2628,2634,2634,2647,2657,2667,2676,2681,2688
E18 Kinkerbuurt,3382,3378,3390,3396,3407,3600,3622,3735,3779,3804,3823
E19 Van Lennepbuurt,4485,4487,4495,4451,4452,4453,4388,4394,4399,4396,4408
E20 Helmersbuurt,4176,4176,4200,4207,4203,4216,4224,4229,4248,4266,4367
E21 Overtoomse Sluis,4382,4384,4365,4355,4387,4465,4483,4566,4604,4611,4606
E22 Vondelbuurt,884,891,893,894,903,906,913,927,939,943,946
E36 Sloterdijk,55,55,55,54,233,233,233,234,234,243,243
E37 Landlust,9262,9249,9211,9219,9273,9549,9569,9671,9744,9667,9702
E38 Erasmuspark,3041,3040,3040,3047,3050,3056,3056,3058,3070,3081,3082
E39 De Kolenkit,2972,3521,4031,4248,4248,4619,4739,4728,5280,5537,5475
E40 Geuzenbuurt,3639,3642,3638,3635,3645,3655,3665,3675,3684,3689,3694
E41 Van Galenbuurt,3232,3226,3216,3212,3212,3213,3218,3218,3216,3215,3220
E42 Hoofdweg e.o.,5698,5704,5702,5702,5695,5706,5770,5774,5776,5787,5790
E43 Westindische Buurt,3594,3593,3596,3603,3609,3613,3620,3624,3628,3631,3632
E75 Chassébuurt,2687,2810,2934,2939,2939,2950,2948,2955,2962,2974,2982
F11 Bedrijventerrein Sloterdijk,25,25,44,45,44,42,42,42,646,646,645
F76 Slotermeer-Noordoost,4150,4177,4178,4207,4207,4211,4214,4155,4153,4144,4145
F77 Slotermeer-Zuidwest,7462,7462,7481,7522,7568,7789,7829,7936,7974,8036,8038
F78 Geuzenveld,6122,5816,5843,5843,6020,6038,6087,6192,6265,6244,6276
F79 Eendracht,932,932,932,932,933,933,933,933,933,932,933
F80 Lutkemeer/Ookmeer,304,306,308,304,306,307,312,314,308,308,309
F81 Osdorp-Oost,8137,8137,8137,8139,8292,8211,7997,7919,7859,7928,8356
F82 Osdorp-Midden,6386,6445,6391,6385,6596,6614,6614,6615,6615,6616,6495
F83 De Punt,2318,2318,2418,2509,2478,2590,2600,2599,2639,2638,2637
F84 Middelveldsche Akerpolder,5373,5375,5374,5373,5377,5383,5331,5385,5386,5382,5393
F85 Slotervaart-Noord,3355,3356,3354,3355,3355,3355,3354,3354,3429,3430,3432
F86 Overtoomse Veld,4360,4274,4219,4430,4498,4730,4686,5461,5851,5900,6058
F87 Westlandgracht,3461,3215,3638,3584,3813,4012,4565,5612,6173,6611,6899
F88 Sloter-/Riekerpolder,5631,5632,5632,5635,5637,5637,5690,5711,5725,5735,5742
F89 Slotervaart-Zuid,3990,4172,4538,4537,4722,4709,4584,4927,5054,5057,5059
K23 Zuidas,505,558,562,579,588,1430,1588,1695,2331,2489,2487
